state,total_transactions,fraud_transactions,fraud_rate_percent,total_amount
DE,9,9,100.000000000000,4630.44
RI,745,15,2.010000000000,52397.59
AK,2963,50,1.690000000000,210694.99
OR,26408,197,0.750000000000,1839620.59
NH,11727,79,0.670000000000,889689.95
VA,41756,273,0.650000000000,2936867.8
TN,24913,159,0.640000000000,1827573.38
NE,34425,216,0.630000000000,2269986.07
MN,45433,280,0.620000000000,3159913.45
NY,119419,730,0.610000000000,8536240.68
DC,5130,31,0.600000000000,385896.78
KS,32939,193,0.590000000000,2305209.99
CO,19766,115,0.580000000000,1537244.77
NV,8058,47,0.580000000000,448077.62
ME,23433,134,0.570000000000,1482788.14
SC,41731,236,0.570000000000,2646483.2
MS,30021,169,0.560000000000,2026152.86
GA,37340,204,0.550000000000,2601360.56
FL,60775,334,0.550000000000,4448375.13
WI,41738,228,0.550000000000,2897850.34
IN,39539,217,0.550000000000,2742840.09
KY,40981,222,0.540000000000,2743359.63
OH,66627,360,0.540000000000,4823536.63
IA,38804,211,0.540000000000,2540679.9
MD,37345,203,0.540000000000,2381427.49
OK,38050,200,0.530000000000,2538701.22
IL,62212,324,0.520000000000,4321867.19
NM,23427,121,0.520000000000,1434807.76
SD,17574,92,0.520000000000,1233010.43
CT,10979,56,0.510000000000,703500.88
PA,114173,572,0.500000000000,8205628.84
CA,80495,402,0.500000000000,5906869.77
MA,17562,87,0.500000000000,1088037.18
AL,58521,278,0.480000000000,3810639.91
MO,54904,262,0.480000000000,3737747.04
WA,27040,126,0.470000000000,1982391.38
NJ,35131,161,0.460000000000,2347501.63
MI,65825,299,0.450000000000,4682701.92
NC,43134,195,0.450000000000,3330058.66
HI,3649,16,0.440000000000,215843.28
TX,135269,592,0.440000000000,9557414.77
AR,44611,195,0.440000000000,3370419.27
WY,27776,119,0.430000000000,2099345.24
VT,16812,72,0.430000000000,1354513.02
AZ,15362,64,0.420000000000,1156227.12
ID,8035,33,0.410000000000,602856.53
MT,16806,69,0.410000000000,1206232.14
UT,15357,61,0.400000000000,975142.86
ND,21183,84,0.400000000000,1387676.63
WV,36529,146,0.400000000000,2565363.69
LA,29953,113,0.380000000000,2231935.58
