transaction_hour,total_transactions,fraud_transactions,fraud_rate_percent,total_spend
22,95370,2481,2.600000000000,7480696.35
23,95902,2442,2.550000000000,7402577.27
1,61330,827,1.350000000000,4868811.07
0,60655,823,1.360000000000,4763819.29
3,60968,803,1.320000000000,4831060.56
2,60796,793,1.300000000000,4853000.82
18,94052,111,0.120000000000,5933727.13
19,93433,105,0.110000000000,5829481.78
21,93738,101,0.110000000000,5906789.49
15,93439,100,0.110000000000,5885532.98
14,93089,100,0.110000000000,5909223.31
20,93081,98,0.110000000000,5883280.01
16,94289,97,0.100000000000,5979718.16
17,93514,94,0.100000000000,5929018.81
13,93492,94,0.100000000000,5920388.07
12,93294,84,0.090000000000,5824814.26
5,60088,80,0.130000000000,4561340.47
7,60301,72,0.120000000000,4581859.76
9,60231,61,0.100000000000,4546137.9
4,59938,61,0.100000000000,4552720.8
11,60170,59,0.100000000000,4606728.51
8,60498,59,0.100000000000,4606749.87
6,60406,54,0.090000000000,4583687.05
10,60320,52,0.090000000000,4544168.29
