year,month,total_transactions,fraud_transactions,fraud_rate_percent,total_spend
2019,1,52525,506,0.960000000000,3759750.03
2019,2,49866,517,1.040000000000,3604662.23
2019,3,70939,494,0.700000000000,5027886.4
2019,4,68078,376,0.550000000000,4761504.58
2019,5,72532,408,0.560000000000,5060903.32
2019,6,86064,354,0.410000000000,6036397.42
2019,7,86596,331,0.380000000000,6044026.74
2019,8,87359,382,0.440000000000,6047288.65
2019,9,70652,418,0.590000000000,4949834.42
2019,10,68758,454,0.660000000000,4851267.37
2019,11,70421,388,0.550000000000,4923252.59
2019,12,141060,592,0.420000000000,9918179.18
2020,1,52202,343,0.660000000000,3663064.49
2020,2,47791,336,0.700000000000,3369944.05
2020,3,72850,444,0.610000000000,5162116.08
2020,4,66892,302,0.450000000000,4691329.78
2020,5,74343,527,0.710000000000,5244036.82
2020,6,87805,467,0.530000000000,6186523.1
2020,7,85848,321,0.370000000000,5938212.74
2020,8,88759,415,0.470000000000,6133478.17
2020,9,69533,340,0.490000000000,4911000.08
2020,10,69348,384,0.550000000000,4868952.99
2020,11,72635,294,0.400000000000,5028587.73
2020,12,139538,258,0.180000000000,9603133.05
